でんでんぱすかる Ver.駒場,@わたこ,@hakuri,@なべかな,@tappy,
Lupin the bird,@mi-kun,@maktopia,@the_bird,@tsukaby,
NuRItaclesましゅまろ,@残夜のクリス ,@かみん ,@ヴァ ,@けとるーん ,@いかずち
嵐迅王リヲニレス,@あらしD,@nabeliwo,@jin,@neetless,
トピトピトピとぴトーピード,@haya14busa,@topi,@freddy,@tora714,@よしにゃん
シラビックス,@nagayama,@soishi,@プロアルバイター,@くろず,
ペンキぬり,@カナダのペンキぬり,@とりすし,@バトルドラゴンロボ,@ほわほわようちえん,@ゆりみつ
もばいるでんでん虫,@としお,@ぴすけ,@ちゃそ,@なな,
Ajitoon,@Aratoon,@Sakamotoon,@ごまちゃんさん,@pro_shunsuke,
長期・積立・万歳,@chanke,@すー,@mizu,@あしつぼ,
ひとは,@odan,@ちくたく ,@yumlonne ,@kaisen,@Be-yan
Nif-ZAP85,@ちく at Nifty,@ちゃく at Nifty,@サトシ at Nifty,@ぴー,@かず at Nifty
紀尾井坂◢82,@pengtong,@marji,@nos,@はるすた,
Ricoh Gaming,@くずぴょん　at Ricoh,@みん　at Ricoh,@キスケ　at Ricoh,@とおる　at Ricoh,
ジワリティオブライフ,@ちゃちゃまる,@みしゅこ,@mzs,@なかまつ,@にっち
イカみる+ Inc.,@かずず at 富士通株式会社(Grp.) ,@つくみん at 富士通株式会社(Grp.),@てんどろいど,@なっつん at 富士通株式会社(Grp.),
フジ2bitゲームズ,@ゆーちゃん,@siyu,@SaE,@たこしゅ,
レジは、いかREGI。,@lucia,@あすみす,@kawaika,@いのちだいじに,
eを取り返し隊 2nd Season,@kawakubox,@redfit,@TAMO,@のほほ,
行けたら行く,@frnfnts,@とまとぼくじょう,@てっかどん,@TangentDay,
RAMDA,@Ryosei,@みっこ,@DK,@アゲサゲ,@h-ikegami
やる気のかたまり,@KB,@roiti,@ぴぎまる,@behindkun,@oks
くそでぶ同好会,@charlie,@peroli,@yamashu.やまひれお,@からとう,
湿原のイカ,@meganemura,@てっちゃん,@にいやん,@tagucch,
NuRITacles Toshi,@Tenpin,@yoic,@Toshi,@きしちゃん,@てらむ
IKAFirst,@kaichi,@がしお,@フライパン,@づっちゃん,
ハイカラスタジオペイント,@hotsure_sj,@おとー,@かがみ,@つき at 株式会社セルシス,@ryuge
イカ漁船かやく丸2号,@jigyakkuma_,@わどうかいちんにーの,@taiga,@handlename,@kizuki
ハイカラスクエア駅前会計事務所,@toofu,@tashin,@ymizushi,@ろい,
ゆるイキャ△,@masaya,@はりぃ,@あおい,@tomo,@Yuffy
ぐのトゥーン,@mgi,@えすけー,@hidapple,@marice0819,
どすこい抜刀斎,@マチコメン at Griphone,@ちょこぷよ at Griphone,@もやし at Griphone,@sengok at Griphone,
デカLINEベッチュ―,@ユーリ / Ralph,@やどかり / strvmi ,@ふぁー at LINE,@nosuke,
イカ通wayを忘れるな！,@ちぐ,@うたきり,@ふまろ,@KENKEN,@こば
スペースイカベーダー,@Emishi_TAITO,@らっち,@ひぃ,@EIL_TAITO,
ハコフグガレージ,@MOCHINUSHI at DigitalGarage,@カメ at DG,@SK at DG,@ぴかぴatDG,@アンジェラatDG
